bdi,0
f1score,0
f2score,0
f3score,0
f61score,0
f62score,0
f63score,0
f64score,0
f65score,0
f66score,0
hdrs,0
madrs,0
madrs1wk,1
madrs2wk,1
madrs3wk,1
madrs4wk,1
madrs5wk,1
madrs6wk,1
madrs7wk,1
madrs8wk,1
madrs9wk,1
madrs10wk,1
hamd1wk,1
hamd2wk,1
hamd3wk,1
hamd4wk,1
hamd5wk,1
hamd6wk,1
hamd7wk,1
hamd8wk,1
hamd9wk,1
hamd10wk,1
hamd11wk,1
hamd12wk,1
hamd13wk,1
hamd14wk,1
hamd15wk,1
hamd17wk,1
hamd16wk,1
bdi1wk,1
bdi2wk,1
bdi3wk,1
bdi4wk,1
bdi5wk,1
bdi6wk,1
bdi7wk,1
bdi8wk,1
bdi9wk,1
bdi10wk,1
bdi11wk,1
bdi12wk,1
bdi13wk,1
bdi14wk,1
bdi15wk,1
bdi16wk,1
bdi17wk,1
bdi18wk,1
bdi19wk,1
bdi20wk,1
bdi21wk,1
gafwk,0
